word,frequency
rhoncus,4
ac,2
mi,4
vulputate,1
tellus.,1
"amet,",2
eros,3
venenatis,3
"ut,",1
consequat,1
malesuada,2
quis,5
"augue,",1
pretium,2
"ac,",1
Aliquam,1
aliquet,2
Donec,4
in,6
"tellus,",1
elementum,1
porta.,1
consectetur,2
orci,2
ut,6
odio.,1
velit,2
"sed,",1
tincidunt.,2
mauris.,2
Nam,1
egestas,1
efficitur.,1
sit,7
faucibus.,1
tempor,2
"est,",2
sed,5
Integer,2
congue,3
"urna,",1
"ex,",1
Lorem,1
vestibulum,1
fringilla,1
ultricies,1
"tincidunt,",1
a,6
Phasellus,2
at,6
iaculis.,2
odio,1
metus.,2
ornare,5
tincidunt,3
elementum.,1
mollis.,1
blandit,5
"in,",1
et.,1
ex,2
tristique,1
felis,1
sollicitudin,4
Pellentesque,4
"sapien,",1
porta,1
purus,1
platea,1
a.,1
laoreet,1
faucibus,2
pulvinar.,2
semper,3
lacus,5
laoreet.,1
Quisque,2
gravida.,1
ante.,2
non,4
amet,5
sodales,1
porttitor.,1
eleifend.,2
vel,2
nisl,2
est,2
"ullamcorper,",1
id,4
"mattis,",1
"felis,",1
vehicula.,1
hac,1
metus,3
elit.,1
et,9
libero,2
rutrum,1
eleifend,4
convallis,1
habitasse,1
posuere,4
enim,2
eu,5
mattis.,1
sapien.,3
Praesent,2
Vivamus,4
commodo,5
nec.,1
"facilisis,",1
bibendum,1
ligula,1
mi.,2
"justo,",2
primis,2
nisi,2
"maximus,",1
adipiscing,1
suscipit,1
Ut,3
iaculis,3
nibh,1
"vel,",1
imperdiet,1
Duis,2
tempus,1
"condimentum,",1
luctus,3
elit,2
ultrices,4
fermentum,3
"id,",1
"aliquam,",1
nec,3
mollis,1
"neque,",1
Vestibulum,3
tortor,2
In,4
Sed,2
ornare.,1
ex.,1
hendrerit,1
Nunc,3
"tempor,",1
curae;,1
interdum.,1
viverra,4
Etiam,1
quam.,1
fames,1
eget,4
finibus,2
pellentesque,3
"tortor,",1
vitae.,1
"at,",1
vehicula,2
Nullam,3
Interdum,1
gravida,2
"purus,",1
leo,2
dignissim,2
lorem,3
sem.,1
accumsan,1
"turpis,",1
ipsum.,1
interdum,3
ligula.,3
nibh.,2
scelerisque,3
nulla,4
"ultricies,",1
nunc,1
facilisis,2
"lacus,",1
ullamcorper,1
venenatis.,1
orci.,1
pulvinar,3
nisl.,1
dictumst.,1
placerat,1
augue,2
Mauris,2
auctor,4
"nulla,",2
risus.,2
"lobortis,",1
Proin,3
Nulla,4
mauris,2
ante,4
vitae,3
tellus,4
porttitor,3
Curabitur,1
sapien,3
vulputate.,1
"vehicula,",1
tempus.,2
dapibus,1
arcu,1
cursus,1
erat.,1
efficitur,1
lobortis,1
ipsum,5
turpis,1
molestie,1
condimentum.,1
"nunc,",2
"quis,",2
neque,4
sed.,1
"mauris,",1
euismod,1
volutpat,1
"eu,",1
feugiat,2
urna,1
sem,3
cubilia,1
Morbi,2
mattis,1
varius,1
dolor,3
Fusce,1
justo,1
tristique.,1
Maecenas,3
